# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=2136375713
# chain_id=0
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=results_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta0,betas.1,logit_rho,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,phi.16,phi.17,phi.18,phi.19,phi.20,phi.21,phi.22,phi.23,phi.24,phi.25,phi.26,phi.27,phi.28,phi.29,phi.30,phi.31,phi.32,phi.33,phi.34,phi.35,phi.36,phi.37,phi.38,phi.39,phi.40,phi.41,phi.42,phi.43,phi.44,phi.45,phi.46,phi.47,phi.48,phi.49,phi.50,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta.28,theta.29,theta.30,theta.31,theta.32,theta.33,theta.34,theta.35,theta.36,theta.37,theta.38,theta.39,theta.40,theta.41,theta.42,theta.43,theta.44,theta.45,theta.46,theta.47,theta.48,theta.49,theta.50,sigma,rho,convolved_re.1,convolved_re.2,convolved_re.3,convolved_re.4,convolved_re.5,convolved_re.6,convolved_re.7,convolved_re.8,convolved_re.9,convolved_re.10,convolved_re.11,convolved_re.12,convolved_re.13,convolved_re.14,convolved_re.15,convolved_re.16,convolved_re.17,convolved_re.18,convolved_re.19,convolved_re.20,convolved_re.21,convolved_re.22,convolved_re.23,convolved_re.24,convolved_re.25,convolved_re.26,convolved_re.27,convolved_re.28,convolved_re.29,convolved_re.30,convolved_re.31,convolved_re.32,convolved_re.33,convolved_re.34,convolved_re.35,convolved_re.36,convolved_re.37,convolved_re.38,convolved_re.39,convolved_re.40,convolved_re.41,convolved_re.42,convolved_re.43,convolved_re.44,convolved_re.45,convolved_re.46,convolved_re.47,convolved_re.48,convolved_re.49,convolved_re.50
-1194.36,1,0.00390625,2,3,0,2198.2,0.00910921,-0.910271,1.97609,1.79079,1.77916,0.0914065,-1.97558,0.0569301,-0.322341,-1.38115,1.10393,-0.399553,-1.07574,-0.814096,0.895605,1.77476,0.911079,-1.74292,0.594643,-1.69344,0.871884,-0.141617,1.81318,1.78832,0.470344,1.09874,-1.21606,0.553354,1.724,1.55356,-0.173499,-0.315935,-1.55299,-1.18166,0.153527,-1.93463,1.47719,-0.336742,-1.91579,-1.2016,-0.855212,0.423542,0.559851,-1.50887,-0.0171393,-0.3879,-1.82915,-1.71411,-0.0222828,-0.446946,1.47685,0.631003,1.23127,1.94692,-1.73341,-1.47915,0.782171,-0.607471,1.31957,-0.0382572,1.5414,-1.51836,1.0003,-0.507384,1.56303,-1.44059,0.908449,1.4138,0.605231,-0.761776,-1.6842,1.35326,1.6628,-0.523743,1.0184,1.44981,1.19856,-0.751698,1.80878,1.07212,-1.1976,1.81895,1.50429,-0.230836,-1.1703,-0.661254,0.594556,0.766474,-0.349426,-0.306326,-1.24339,0.91463,-0.455152,-0.472361,0.507702,0.828769,-1.02673,1.71873,-0.452099,1.87061,0.422629,-1.73704,1.37551,5.56383,0.878263,1.866,0.574195,-0.455514,-1.03625,-0.174226,0.246803,-0.928592,1.26935,-0.794538,-0.363851,-0.716507,1.13885,0.673449,0.92071,-0.661693,0.605222,-1.38798,-0.00985919,0.378318,1.78171,1.00233,0.667011,1.23395,-0.387663,0.104418,1.77354,1.40357,-0.532825,0.425286,-0.504261,-0.863592,-0.306591,-1.51273,1.18633,0.0442798,-1.39146,-0.903144,-1.00055,0.59979,0.21219,-1.16469,0.165784,0.0321139,-1.57036,-0.536209,-0.172507,0.356494,1.12613,-0.187919,1.29585
-1194.36,0,14.3855,0,1,1,1239,0.00910921,-0.910271,1.97609,1.79079,1.77916,0.0914065,-1.97558,0.0569301,-0.322341,-1.38115,1.10393,-0.399553,-1.07574,-0.814096,0.895605,1.77476,0.911079,-1.74292,0.594643,-1.69344,0.871884,-0.141617,1.81318,1.78832,0.470344,1.09874,-1.21606,0.553354,1.724,1.55356,-0.173499,-0.315935,-1.55299,-1.18166,0.153527,-1.93463,1.47719,-0.336742,-1.91579,-1.2016,-0.855212,0.423542,0.559851,-1.50887,-0.0171393,-0.3879,-1.82915,-1.71411,-0.0222828,-0.446946,1.47685,0.631003,1.23127,1.94692,-1.73341,-1.47915,0.782171,-0.607471,1.31957,-0.0382572,1.5414,-1.51836,1.0003,-0.507384,1.56303,-1.44059,0.908449,1.4138,0.605231,-0.761776,-1.6842,1.35326,1.6628,-0.523743,1.0184,1.44981,1.19856,-0.751698,1.80878,1.07212,-1.1976,1.81895,1.50429,-0.230836,-1.1703,-0.661254,0.594556,0.766474,-0.349426,-0.306326,-1.24339,0.91463,-0.455152,-0.472361,0.507702,0.828769,-1.02673,1.71873,-0.452099,1.87061,0.422629,-1.73704,1.37551,5.56383,0.878263,1.866,0.574195,-0.455514,-1.03625,-0.174226,0.246803,-0.928592,1.26935,-0.794538,-0.363851,-0.716507,1.13885,0.673449,0.92071,-0.661693,0.605222,-1.38798,-0.00985919,0.378318,1.78171,1.00233,0.667011,1.23395,-0.387663,0.104418,1.77354,1.40357,-0.532825,0.425286,-0.504261,-0.863592,-0.306591,-1.51273,1.18633,0.0442798,-1.39146,-0.903144,-1.00055,0.59979,0.21219,-1.16469,0.165784,0.0321139,-1.57036,-0.536209,-0.172507,0.356494,1.12613,-0.187919,1.29585
-1194.36,0,2.43117,0,1,1,1246.53,0.00910921,-0.910271,1.97609,1.79079,1.77916,0.0914065,-1.97558,0.0569301,-0.322341,-1.38115,1.10393,-0.399553,-1.07574,-0.814096,0.895605,1.77476,0.911079,-1.74292,0.594643,-1.69344,0.871884,-0.141617,1.81318,1.78832,0.470344,1.09874,-1.21606,0.553354,1.724,1.55356,-0.173499,-0.315935,-1.55299,-1.18166,0.153527,-1.93463,1.47719,-0.336742,-1.91579,-1.2016,-0.855212,0.423542,0.559851,-1.50887,-0.0171393,-0.3879,-1.82915,-1.71411,-0.0222828,-0.446946,1.47685,0.631003,1.23127,1.94692,-1.73341,-1.47915,0.782171,-0.607471,1.31957,-0.0382572,1.5414,-1.51836,1.0003,-0.507384,1.56303,-1.44059,0.908449,1.4138,0.605231,-0.761776,-1.6842,1.35326,1.6628,-0.523743,1.0184,1.44981,1.19856,-0.751698,1.80878,1.07212,-1.1976,1.81895,1.50429,-0.230836,-1.1703,-0.661254,0.594556,0.766474,-0.349426,-0.306326,-1.24339,0.91463,-0.455152,-0.472361,0.507702,0.828769,-1.02673,1.71873,-0.452099,1.87061,0.422629,-1.73704,1.37551,5.56383,0.878263,1.866,0.574195,-0.455514,-1.03625,-0.174226,0.246803,-0.928592,1.26935,-0.794538,-0.363851,-0.716507,1.13885,0.673449,0.92071,-0.661693,0.605222,-1.38798,-0.00985919,0.378318,1.78171,1.00233,0.667011,1.23395,-0.387663,0.104418,1.77354,1.40357,-0.532825,0.425286,-0.504261,-0.863592,-0.306591,-1.51273,1.18633,0.0442798,-1.39146,-0.903144,-1.00055,0.59979,0.21219,-1.16469,0.165784,0.0321139,-1.57036,-0.536209,-0.172507,0.356494,1.12613,-0.187919,1.29585
-1194.36,0,0.239791,0,1,1,1263.64,0.00910921,-0.910271,1.97609,1.79079,1.77916,0.0914065,-1.97558,0.0569301,-0.322341,-1.38115,1.10393,-0.399553,-1.07574,-0.814096,0.895605,1.77476,0.911079,-1.74292,0.594643,-1.69344,0.871884,-0.141617,1.81318,1.78832,0.470344,1.09874,-1.21606,0.553354,1.724,1.55356,-0.173499,-0.315935,-1.55299,-1.18166,0.153527,-1.93463,1.47719,-0.336742,-1.91579,-1.2016,-0.855212,0.423542,0.559851,-1.50887,-0.0171393,-0.3879,-1.82915,-1.71411,-0.0222828,-0.446946,1.47685,0.631003,1.23127,1.94692,-1.73341,-1.47915,0.782171,-0.607471,1.31957,-0.0382572,1.5414,-1.51836,1.0003,-0.507384,1.56303,-1.44059,0.908449,1.4138,0.605231,-0.761776,-1.6842,1.35326,1.6628,-0.523743,1.0184,1.44981,1.19856,-0.751698,1.80878,1.07212,-1.1976,1.81895,1.50429,-0.230836,-1.1703,-0.661254,0.594556,0.766474,-0.349426,-0.306326,-1.24339,0.91463,-0.455152,-0.472361,0.507702,0.828769,-1.02673,1.71873,-0.452099,1.87061,0.422629,-1.73704,1.37551,5.56383,0.878263,1.866,0.574195,-0.455514,-1.03625,-0.174226,0.246803,-0.928592,1.26935,-0.794538,-0.363851,-0.716507,1.13885,0.673449,0.92071,-0.661693,0.605222,-1.38798,-0.00985919,0.378318,1.78171,1.00233,0.667011,1.23395,-0.387663,0.104418,1.77354,1.40357,-0.532825,0.425286,-0.504261,-0.863592,-0.306591,-1.51273,1.18633,0.0442798,-1.39146,-0.903144,-1.00055,0.59979,0.21219,-1.16469,0.165784,0.0321139,-1.57036,-0.536209,-0.172507,0.356494,1.12613,-0.187919,1.29585
-1194.36,0,0.0186273,0,1,1,1253.65,0.00910921,-0.910271,1.97609,1.79079,1.77916,0.0914065,-1.97558,0.0569301,-0.322341,-1.38115,1.10393,-0.399553,-1.07574,-0.814096,0.895605,1.77476,0.911079,-1.74292,0.594643,-1.69344,0.871884,-0.141617,1.81318,1.78832,0.470344,1.09874,-1.21606,0.553354,1.724,1.55356,-0.173499,-0.315935,-1.55299,-1.18166,0.153527,-1.93463,1.47719,-0.336742,-1.91579,-1.2016,-0.855212,0.423542,0.559851,-1.50887,-0.0171393,-0.3879,-1.82915,-1.71411,-0.0222828,-0.446946,1.47685,0.631003,1.23127,1.94692,-1.73341,-1.47915,0.782171,-0.607471,1.31957,-0.0382572,1.5414,-1.51836,1.0003,-0.507384,1.56303,-1.44059,0.908449,1.4138,0.605231,-0.761776,-1.6842,1.35326,1.6628,-0.523743,1.0184,1.44981,1.19856,-0.751698,1.80878,1.07212,-1.1976,1.81895,1.50429,-0.230836,-1.1703,-0.661254,0.594556,0.766474,-0.349426,-0.306326,-1.24339,0.91463,-0.455152,-0.472361,0.507702,0.828769,-1.02673,1.71873,-0.452099,1.87061,0.422629,-1.73704,1.37551,5.56383,0.878263,1.866,0.574195,-0.455514,-1.03625,-0.174226,0.246803,-0.928592,1.26935,-0.794538,-0.363851,-0.716507,1.13885,0.673449,0.92071,-0.661693,0.605222,-1.38798,-0.00985919,0.378318,1.78171,1.00233,0.667011,1.23395,-0.387663,0.104418,1.77354,1.40357,-0.532825,0.425286,-0.504261,-0.863592,-0.306591,-1.51273,1.18633,0.0442798,-1.39146,-0.903144,-1.00055,0.59979,0.21219,-1.16469,0.165784,0.0321139,-1.57036,-0.536209,-0.172507,0.356494,1.12613,-0.187919,1.29585
-253.887,0.997612,0.00130482,10,1023,0,1257.45,-0.0429035,0.266567,1.41133,1.3948,1.61672,-0.0523739,-1.88703,0.842877,-0.35972,-1.53401,0.998823,-0.389059,-1.77164,-0.391682,0.894857,2.35757,0.602824,-1.70332,0.615198,-1.87637,0.746845,-0.235185,1.4519,1.71634,0.255873,0.774164,-1.1304,0.997077,1.07236,1.17772,-0.275309,-0.533041,-1.09802,-1.3201,0.350933,-1.60161,0.979949,-0.624881,-1.96118,-0.665524,-0.720028,0.439266,1.00823,-1.49147,0.446251,-0.147898,-1.44652,-1.90972,0.177255,-0.12902,2.04403,0.951474,1.49282,2.07826,-1.73306,-1.59666,0.72705,-0.148389,1.76965,0.287,0.989469,-1.92368,1.20433,-0.403572,1.9034,-1.02102,0.667032,1.34916,0.620663,-0.66087,-1.58643,1.50906,1.4669,-0.379727,1.30602,1.45379,1.42889,-1.00647,1.32462,0.954103,-0.561978,1.98634,1.5483,0.198926,-0.871624,-0.838791,0.478262,0.780207,-0.563235,-0.0719144,-1.34464,1.28762,-0.641831,-0.765036,0.653537,0.911493,-0.639978,1.83834,0.290659,1.60004,0.419564,-1.61909,0.962712,0.0134304,0.803976,1.80448,0.257737,-0.74012,-0.874526,0.468707,0.555433,-0.845531,1.07136,-1.09838,-0.590053,-0.427016,1.41009,1.04271,0.677531,-0.48261,0.664847,-1.48227,-0.228868,0.519019,1.57001,0.920083,0.740466,1.1345,-0.0840692,0.186563,1.26637,1.16913,-0.423366,0.541484,-0.0106644,-0.748904,-0.163407,-1.38683,0.833061,-0.0507572,-1.4928,-0.453799,-1.05185,0.848596,0.355073,-1.28435,0.572285,0.309789,-1.20048,-0.396892,0.241072,0.626608,1.48172,-0.113585,1.37273
-249.452,1,0.00187726,6,95,0,306.811,-0.100549,-0.36404,1.50953,1.45944,1.62128,-0.114114,-1.89147,0.86387,-0.382543,-1.56056,1.04359,-0.483852,-1.6559,-0.272449,0.816223,2.42839,0.509335,-1.69105,0.770365,-1.79554,0.784058,-0.196629,1.48912,1.76053,0.378398,0.734802,-1.1258,1.02174,1.05687,1.17857,-0.256204,-0.618036,-1.11187,-1.43221,0.341439,-1.67239,0.982522,-0.636099,-2.01666,-0.730329,-0.741788,0.388954,0.931774,-1.46266,0.456583,-0.165084,-1.46083,-1.9591,0.172773,-0.130224,1.86041,0.986266,1.47994,2.04778,-1.77474,-1.58852,0.882552,-0.132103,1.75638,0.272619,1.021,-1.90496,1.30273,-0.378332,1.84481,-1.03088,0.618891,1.3494,0.608497,-0.739065,-1.56594,1.49939,1.42122,-0.396898,1.22027,1.42945,1.49723,-1.01561,1.2762,0.913008,-0.54269,1.97899,1.50956,0.322837,-0.80252,-0.823107,0.467959,0.799108,-0.557512,-0.117889,-1.3696,1.21909,-0.732001,-0.763674,0.572449,0.898085,-0.707087,1.82317,0.265362,1.57719,0.470505,-1.71575,1.04618,0.0124202,0.818992,1.80515,0.282422,-0.74886,-0.834903,0.496603,0.502454,-0.882646,1.10219,-1.12009,-0.505394,-0.335307,1.30719,1.11539,0.58924,-0.508034,0.751857,-1.46343,-0.164497,0.512089,1.55757,0.957736,0.761309,1.07837,-0.0834254,0.22174,1.21927,1.14263,-0.394838,0.446468,-0.069264,-0.779146,-0.122939,-1.42039,0.827828,-0.067071,-1.52769,-0.517507,-1.05738,0.76756,0.284829,-1.26089,0.535725,0.276451,-1.23564,-0.477999,0.223459,0.587684,1.39069,-0.098839,1.39214
-187.602,0.93851,0.00303442,4,31,0,300.178,-0.103411,-0.24145,1.49913,1.47006,1.64423,-0.113234,-1.87921,0.844908,-0.363974,-1.55793,1.04508,-0.476689,-1.64007,-0.286183,0.828087,2.40699,0.516425,-1.65716,0.759319,-1.79688,0.793715,-0.176762,1.49244,1.76574,0.398478,0.707322,-1.07875,1.00239,1.04669,1.16881,-0.26797,-0.612061,-1.07482,-1.42544,0.297773,-1.68599,0.967947,-0.6109,-2.01256,-0.723337,-0.731474,0.420546,0.93762,-1.4503,0.433255,-0.186681,-1.46181,-1.97474,0.182595,-0.129635,1.88119,0.942377,1.46611,2.09205,-1.79182,-1.54752,0.89915,-0.134404,1.77749,0.274473,1.04752,-1.87704,1.33214,-0.359955,1.82865,-1.04149,0.625217,1.38738,0.56317,-0.771372,-1.60743,1.49865,1.40166,-0.41796,1.24449,1.42251,1.4862,-1.02091,1.30476,0.892934,-0.533555,1.97359,1.51229,0.280718,-0.817518,-0.811231,0.471588,0.810732,-0.533991,-0.137621,-1.37108,1.20209,-0.739863,-0.801216,0.611544,0.903587,-0.710346,1.85303,0.286759,1.60323,0.469737,-1.69966,1.05998,0.0120122,0.817444,1.83369,0.285594,-0.733594,-0.817227,0.482735,0.526768,-0.878736,1.1157,-1.10675,-0.479339,-0.336757,1.31073,1.09383,0.597291,-0.466665,0.726066,-1.47835,-0.179368,0.527315,1.55302,0.950281,0.786483,1.05999,-0.0546549,0.204643,1.22664,1.12876,-0.399286,0.451947,-0.0410001,-0.791363,-0.158927,-1.42449,0.820316,-0.0441586,-1.51481,-0.52124,-1.05345,0.782473,0.283315,-1.26953,0.538278,0.266724,-1.23806,-0.470742,0.239258,0.60213,1.40338,-0.12373,1.3902
-75.6304,0.928609,0.00433672,10,1023,0,244.29,1.283,-0.104502,2.05549,2.66013,1.44007,-1.14529,-1.53377,1.34946,-1.18763,-3.44156,0.344146,-2.19329,-2.89303,0.291895,-0.604153,3.91061,0.316162,-1.09505,0.252998,-3.15173,2.65514,-1.21251,2.43976,0.598657,-0.656898,-0.364239,-1.04316,2.9542,0.764512,2.34997,-1.7062,1.01779,-2.33207,-2.77561,1.14487,-1.04823,1.711,0.287639,-2.13393,-1.2554,0.868263,0.681844,0.701292,-1.17462,0.651588,0.690423,-0.498151,-3.06971,-1.20502,-0.841017,5.56962,0.719323,2.21282,0.985209,-0.904049,-1.65218,0.140461,-0.85825,-1.03573,-1.45894,-0.38201,-0.777379,0.533969,-0.28341,1.68569,-0.127751,0.469232,-1.37938,0.270265,-1.27343,0.140763,0.0147233,0.447752,-0.127643,-0.58898,-0.324397,0.912043,0.73851,0.790668,0.309404,0.187371,-0.42195,1.52816,1.21134,-0.284197,-2.4275,-0.995857,-1.15735,0.651483,-0.0913022,0.258826,-0.739737,-1.33443,-0.741127,1.46975,-0.510348,2.14355,-0.395844,1.96805,1.45192,0.297661,-1.86225,0.651178,0.0318786,0.886501,2.10295,0.654184,-1.31911,-0.973816,0.609289,-1.13962,-2.7828,0.100425,-1.72212,-1.7462,0.0988556,0.165674,2.56053,0.368574,-1.19376,0.25949,-2.52734,1.81514,-0.802293,1.77517,0.355566,-0.635768,-0.351788,-0.387244,2.21562,0.775363,1.66878,-1.07281,0.535459,-1.03779,-1.43982,0.666479,-1.51569,0.803633,-0.198406,-1.20122,-0.866569,0.665261,0.204738,0.0173357,-1.03171,0.928959,0.28773,0.390498,-2.17708,-0.139239,-0.0707804,3.80837,-0.148481,1.69261
-68.6459,0.999948,0.00627018,10,1023,0,115.719,0.920135,-0.0782757,-1.61372,-0.273984,8.61669,-2.61806,-2.90286,-1.60436,-1.32672,-1.20345,-1.82945,-0.566267,-1.3462,-1.20323,0.880621,1.99999,2.87469,-4.03604,0.285097,-2.5958,0.933848,2.46567,5.54858,-0.769054,-0.204519,-1.14709,5.46228,4.45928,0.785878,-0.358067,-2.45237,3.45819,-1.62332,-1.10079,0.114772,3.20693,-2.52013,-2.45631,-5.07334,-0.50758,2.99089,0.475368,-1.17572,-1.19243,6.05947,0.323209,-1.94297,-3.58929,-1.97252,-5.04849,1.94026,2.12525,-0.373851,-0.575974,0.616017,1.66093,-0.0190796,0.973374,1.6395,1.63391,0.244722,1.23682,-0.829826,0.959014,-1.20503,-0.0304571,-0.0563384,1.50452,-0.259171,1.20059,-0.193477,-0.122647,-0.213023,-0.109087,0.911496,0.341535,-0.940669,-0.298129,-0.709323,-0.0927906,0.265065,0.48604,-1.49861,-1.1395,-0.0947165,1.83764,0.982173,0.770442,-0.389606,0.272086,0.0808306,0.817547,0.817527,0.691521,-1.51363,0.519148,-1.69245,0.114627,-1.87026,-0.554039,-0.30304,1.98474,-0.391219,0.0926619,0.166073,-0.604928,3.04553,0.762338,-0.853914,0.426568,1.11488,1.14529,-0.303694,0.966285,-1.14572,0.529044,-0.846668,0.548504,0.776925,0.210898,-0.154521,0.348365,0.0924154,0.598508,1.40435,-0.321229,0.773441,-0.0186571,0.714996,1.01274,-0.421292,-0.187917,-0.464618,1.44036,-1.8363,-1.35779,-0.0534221,2.60223,0.170717,-0.00424641,-1.81772,0.102204,0.935669,0.883563,0.407767,0.287882,0.363855,0.56722,-2.10542,-0.929614,-2.27632,-1.96072,0.282371,2.42487,-0.464989
