# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=2136375713
# chain_id=2
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=results_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta0,betas.1,logit_rho,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,phi.16,phi.17,phi.18,phi.19,phi.20,phi.21,phi.22,phi.23,phi.24,phi.25,phi.26,phi.27,phi.28,phi.29,phi.30,phi.31,phi.32,phi.33,phi.34,phi.35,phi.36,phi.37,phi.38,phi.39,phi.40,phi.41,phi.42,phi.43,phi.44,phi.45,phi.46,phi.47,phi.48,phi.49,phi.50,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta.28,theta.29,theta.30,theta.31,theta.32,theta.33,theta.34,theta.35,theta.36,theta.37,theta.38,theta.39,theta.40,theta.41,theta.42,theta.43,theta.44,theta.45,theta.46,theta.47,theta.48,theta.49,theta.50,sigma,rho,convolved_re.1,convolved_re.2,convolved_re.3,convolved_re.4,convolved_re.5,convolved_re.6,convolved_re.7,convolved_re.8,convolved_re.9,convolved_re.10,convolved_re.11,convolved_re.12,convolved_re.13,convolved_re.14,convolved_re.15,convolved_re.16,convolved_re.17,convolved_re.18,convolved_re.19,convolved_re.20,convolved_re.21,convolved_re.22,convolved_re.23,convolved_re.24,convolved_re.25,convolved_re.26,convolved_re.27,convolved_re.28,convolved_re.29,convolved_re.30,convolved_re.31,convolved_re.32,convolved_re.33,convolved_re.34,convolved_re.35,convolved_re.36,convolved_re.37,convolved_re.38,convolved_re.39,convolved_re.40,convolved_re.41,convolved_re.42,convolved_re.43,convolved_re.44,convolved_re.45,convolved_re.46,convolved_re.47,convolved_re.48,convolved_re.49,convolved_re.50
-1560.35,1,0.0078125,2,3,0,6679.65,0.405935,-0.402529,-1.43487,0.0842197,1.0257,0.432759,1.17122,-1.29767,1.09195,1.2642,1.45457,1.8784,-1.13002,1.67077,-1.29201,1.76679,-2.00398,-1.0637,-1.13908,-1.30265,1.7517,0.0579332,0.891755,0.543518,-1.92298,-0.0805083,0.632437,-0.307637,0.325019,0.0612946,-0.959347,1.05621,-2.00964,0.0450049,0.6093,-1.80732,-0.0595778,1.45501,-1.8136,0.601381,1.48038,-0.254002,-1.71842,1.39991,1.61735,-0.000881881,0.388338,-0.130626,-1.78798,-1.20449,-0.0805811,0.0264189,1.13149,-1.95273,0.701511,0.843066,0.206129,-1.26541,0.295752,1.90312,-1.24774,1.98156,1.17205,-0.523243,-1.72313,0.34839,-0.40182,0.819314,-1.24613,0.276279,-1.21681,1.65338,1.39985,0.303558,1.87634,-1.24747,1.05026,-1.34181,1.44053,1.22771,-1.69895,0.799458,-1.93022,0.00918562,1.54395,1.31602,-0.616583,-0.980687,-0.689422,-1.17862,-0.68876,-1.57869,1.97907,-0.35063,0.351084,-1.3699,-0.736545,-0.834487,1.11951,1.98599,-0.744261,-1.10075,-1.42877,1.99057,0.192341,-1.7288,0.948531,0.891866,0.548459,-1.53965,0.604421,2.10238,-0.670256,2.36334,0.702886,0.0478924,-1.94924,0.861004,-0.982577,0.406449,-1.47314,-0.155679,-0.550322,1.50386,1.53459,0.441359,1.08992,-1.14606,1.13999,-1.30128,1.39539,1.12235,-1.82435,1.04602,-2.35791,0.0222117,1.5765,0.62223,-0.572598,-0.430122,-1.182,-0.872725,-0.159902,-1.49753,1.24568,0.119022,0.81708,-1.2314,-0.541503,-0.790461,0.451627,1.41128,-0.693855,-0.981048,-0.933141
-1560.35,0,14.3855,0,1,1,1609.77,0.405935,-0.402529,-1.43487,0.0842197,1.0257,0.432759,1.17122,-1.29767,1.09195,1.2642,1.45457,1.8784,-1.13002,1.67077,-1.29201,1.76679,-2.00398,-1.0637,-1.13908,-1.30265,1.7517,0.0579332,0.891755,0.543518,-1.92298,-0.0805083,0.632437,-0.307637,0.325019,0.0612946,-0.959347,1.05621,-2.00964,0.0450049,0.6093,-1.80732,-0.0595778,1.45501,-1.8136,0.601381,1.48038,-0.254002,-1.71842,1.39991,1.61735,-0.000881881,0.388338,-0.130626,-1.78798,-1.20449,-0.0805811,0.0264189,1.13149,-1.95273,0.701511,0.843066,0.206129,-1.26541,0.295752,1.90312,-1.24774,1.98156,1.17205,-0.523243,-1.72313,0.34839,-0.40182,0.819314,-1.24613,0.276279,-1.21681,1.65338,1.39985,0.303558,1.87634,-1.24747,1.05026,-1.34181,1.44053,1.22771,-1.69895,0.799458,-1.93022,0.00918562,1.54395,1.31602,-0.616583,-0.980687,-0.689422,-1.17862,-0.68876,-1.57869,1.97907,-0.35063,0.351084,-1.3699,-0.736545,-0.834487,1.11951,1.98599,-0.744261,-1.10075,-1.42877,1.99057,0.192341,-1.7288,0.948531,0.891866,0.548459,-1.53965,0.604421,2.10238,-0.670256,2.36334,0.702886,0.0478924,-1.94924,0.861004,-0.982577,0.406449,-1.47314,-0.155679,-0.550322,1.50386,1.53459,0.441359,1.08992,-1.14606,1.13999,-1.30128,1.39539,1.12235,-1.82435,1.04602,-2.35791,0.0222117,1.5765,0.62223,-0.572598,-0.430122,-1.182,-0.872725,-0.159902,-1.49753,1.24568,0.119022,0.81708,-1.2314,-0.541503,-0.790461,0.451627,1.41128,-0.693855,-0.981048,-0.933141
-1560.35,0,2.43117,0,1,1,1625.4,0.405935,-0.402529,-1.43487,0.0842197,1.0257,0.432759,1.17122,-1.29767,1.09195,1.2642,1.45457,1.8784,-1.13002,1.67077,-1.29201,1.76679,-2.00398,-1.0637,-1.13908,-1.30265,1.7517,0.0579332,0.891755,0.543518,-1.92298,-0.0805083,0.632437,-0.307637,0.325019,0.0612946,-0.959347,1.05621,-2.00964,0.0450049,0.6093,-1.80732,-0.0595778,1.45501,-1.8136,0.601381,1.48038,-0.254002,-1.71842,1.39991,1.61735,-0.000881881,0.388338,-0.130626,-1.78798,-1.20449,-0.0805811,0.0264189,1.13149,-1.95273,0.701511,0.843066,0.206129,-1.26541,0.295752,1.90312,-1.24774,1.98156,1.17205,-0.523243,-1.72313,0.34839,-0.40182,0.819314,-1.24613,0.276279,-1.21681,1.65338,1.39985,0.303558,1.87634,-1.24747,1.05026,-1.34181,1.44053,1.22771,-1.69895,0.799458,-1.93022,0.00918562,1.54395,1.31602,-0.616583,-0.980687,-0.689422,-1.17862,-0.68876,-1.57869,1.97907,-0.35063,0.351084,-1.3699,-0.736545,-0.834487,1.11951,1.98599,-0.744261,-1.10075,-1.42877,1.99057,0.192341,-1.7288,0.948531,0.891866,0.548459,-1.53965,0.604421,2.10238,-0.670256,2.36334,0.702886,0.0478924,-1.94924,0.861004,-0.982577,0.406449,-1.47314,-0.155679,-0.550322,1.50386,1.53459,0.441359,1.08992,-1.14606,1.13999,-1.30128,1.39539,1.12235,-1.82435,1.04602,-2.35791,0.0222117,1.5765,0.62223,-0.572598,-0.430122,-1.182,-0.872725,-0.159902,-1.49753,1.24568,0.119022,0.81708,-1.2314,-0.541503,-0.790461,0.451627,1.41128,-0.693855,-0.981048,-0.933141
-1560.35,0,0.239791,0,1,1,1611.76,0.405935,-0.402529,-1.43487,0.0842197,1.0257,0.432759,1.17122,-1.29767,1.09195,1.2642,1.45457,1.8784,-1.13002,1.67077,-1.29201,1.76679,-2.00398,-1.0637,-1.13908,-1.30265,1.7517,0.0579332,0.891755,0.543518,-1.92298,-0.0805083,0.632437,-0.307637,0.325019,0.0612946,-0.959347,1.05621,-2.00964,0.0450049,0.6093,-1.80732,-0.0595778,1.45501,-1.8136,0.601381,1.48038,-0.254002,-1.71842,1.39991,1.61735,-0.000881881,0.388338,-0.130626,-1.78798,-1.20449,-0.0805811,0.0264189,1.13149,-1.95273,0.701511,0.843066,0.206129,-1.26541,0.295752,1.90312,-1.24774,1.98156,1.17205,-0.523243,-1.72313,0.34839,-0.40182,0.819314,-1.24613,0.276279,-1.21681,1.65338,1.39985,0.303558,1.87634,-1.24747,1.05026,-1.34181,1.44053,1.22771,-1.69895,0.799458,-1.93022,0.00918562,1.54395,1.31602,-0.616583,-0.980687,-0.689422,-1.17862,-0.68876,-1.57869,1.97907,-0.35063,0.351084,-1.3699,-0.736545,-0.834487,1.11951,1.98599,-0.744261,-1.10075,-1.42877,1.99057,0.192341,-1.7288,0.948531,0.891866,0.548459,-1.53965,0.604421,2.10238,-0.670256,2.36334,0.702886,0.0478924,-1.94924,0.861004,-0.982577,0.406449,-1.47314,-0.155679,-0.550322,1.50386,1.53459,0.441359,1.08992,-1.14606,1.13999,-1.30128,1.39539,1.12235,-1.82435,1.04602,-2.35791,0.0222117,1.5765,0.62223,-0.572598,-0.430122,-1.182,-0.872725,-0.159902,-1.49753,1.24568,0.119022,0.81708,-1.2314,-0.541503,-0.790461,0.451627,1.41128,-0.693855,-0.981048,-0.933141
-1560.35,0,0.0186273,0,1,1,1612.8,0.405935,-0.402529,-1.43487,0.0842197,1.0257,0.432759,1.17122,-1.29767,1.09195,1.2642,1.45457,1.8784,-1.13002,1.67077,-1.29201,1.76679,-2.00398,-1.0637,-1.13908,-1.30265,1.7517,0.0579332,0.891755,0.543518,-1.92298,-0.0805083,0.632437,-0.307637,0.325019,0.0612946,-0.959347,1.05621,-2.00964,0.0450049,0.6093,-1.80732,-0.0595778,1.45501,-1.8136,0.601381,1.48038,-0.254002,-1.71842,1.39991,1.61735,-0.000881881,0.388338,-0.130626,-1.78798,-1.20449,-0.0805811,0.0264189,1.13149,-1.95273,0.701511,0.843066,0.206129,-1.26541,0.295752,1.90312,-1.24774,1.98156,1.17205,-0.523243,-1.72313,0.34839,-0.40182,0.819314,-1.24613,0.276279,-1.21681,1.65338,1.39985,0.303558,1.87634,-1.24747,1.05026,-1.34181,1.44053,1.22771,-1.69895,0.799458,-1.93022,0.00918562,1.54395,1.31602,-0.616583,-0.980687,-0.689422,-1.17862,-0.68876,-1.57869,1.97907,-0.35063,0.351084,-1.3699,-0.736545,-0.834487,1.11951,1.98599,-0.744261,-1.10075,-1.42877,1.99057,0.192341,-1.7288,0.948531,0.891866,0.548459,-1.53965,0.604421,2.10238,-0.670256,2.36334,0.702886,0.0478924,-1.94924,0.861004,-0.982577,0.406449,-1.47314,-0.155679,-0.550322,1.50386,1.53459,0.441359,1.08992,-1.14606,1.13999,-1.30128,1.39539,1.12235,-1.82435,1.04602,-2.35791,0.0222117,1.5765,0.62223,-0.572598,-0.430122,-1.182,-0.872725,-0.159902,-1.49753,1.24568,0.119022,0.81708,-1.2314,-0.541503,-0.790461,0.451627,1.41128,-0.693855,-0.981048,-0.933141
-723.919,1,0.00130482,3,7,0,1609.77,0.411519,-0.387467,-1.43681,0.0609076,1.01274,0.409406,1.14208,-1.32578,1.0729,1.24533,1.43046,1.85046,-1.14405,1.65356,-1.30328,1.72921,-2.02279,-1.08909,-1.1606,-1.31297,1.7265,0.0424851,0.874635,0.52346,-1.93959,-0.103452,0.607485,-0.330653,0.295621,0.0481951,-0.981412,1.04551,-2.03485,0.0352528,0.589226,-1.83109,-0.064169,1.42968,-1.83252,0.581696,1.45893,-0.272318,-1.73578,1.37066,1.6066,-0.0234887,0.365412,-0.162851,-1.80334,-1.21695,-0.10198,-0.00258607,1.1165,-1.96157,0.693163,0.842775,0.209278,-1.26352,0.29925,1.90178,-1.2427,1.9775,1.17862,-0.529506,-1.71929,0.353492,-0.410565,0.815378,-1.26,0.272726,-1.22042,1.65342,1.41189,0.300953,1.87487,-1.25149,1.06138,-1.32975,1.4475,1.22887,-1.69525,0.798374,-1.9338,0.0290046,1.54183,1.3073,-0.622251,-0.984253,-0.683495,-1.17207,-0.688806,-1.5677,1.98493,-0.338383,0.362535,-1.35372,-0.731607,-0.834146,1.1145,1.98644,-0.735294,-1.10252,-1.42969,1.98293,0.19204,-1.74431,0.93688,0.884405,0.542009,-1.54655,0.601447,2.09533,-0.673762,2.35091,0.704909,0.0364353,-1.94926,0.853573,-0.995847,0.395439,-1.49221,-0.161708,-0.561999,1.49937,1.54013,0.432721,1.08424,-1.15698,1.14228,-1.29773,1.39271,1.11952,-1.82792,1.04161,-2.36877,0.0369951,1.56848,0.607684,-0.579205,-0.441694,-1.18221,-0.87328,-0.167064,-1.49353,1.24632,0.120567,0.82371,-1.2241,-0.544386,-0.800248,0.44298,1.40844,-0.692531,-0.99182,-0.939127
-259.518,1,0.00189104,3,7,0,754.141,0.417121,-0.392195,-1.42228,0.0185318,0.969782,0.36649,1.11867,-1.35223,1.05448,1.19193,1.42788,1.8183,-1.17082,1.62057,-1.33901,1.69445,-2.06243,-1.12302,-1.18741,-1.34082,1.69634,0.0117838,0.844539,0.48737,-1.96411,-0.147927,0.571001,-0.374507,0.272993,-0.00202128,-1.01201,1.00235,-2.06319,-0.00516085,0.545874,-1.85172,-0.0964482,1.38395,-1.87172,0.54945,1.41562,-0.308297,-1.74967,1.35156,1.57999,-0.061099,0.340971,-0.178911,-1.8325,-1.25632,-0.117502,-0.0301287,1.08361,-1.96724,0.690548,0.831081,0.197249,-1.2718,0.296594,1.87509,-1.24209,1.96837,1.18416,-0.537971,-1.7219,0.359583,-0.400811,0.830052,-1.25656,0.280415,-1.20257,1.64906,1.412,0.309957,1.86697,-1.25513,1.04826,-1.33028,1.43771,1.23716,-1.68965,0.805647,-1.94539,0.0360596,1.52677,1.31054,-0.614705,-0.997011,-0.674993,-1.17662,-0.69334,-1.56507,1.97706,-0.332468,0.372976,-1.34973,-0.736827,-0.82419,1.12282,1.98362,-0.739053,-1.09481,-1.42345,1.98997,0.194304,-1.76003,0.922113,0.860215,0.525733,-1.56305,0.594897,2.05461,-0.669852,2.33357,0.697972,0.0222316,-1.96295,0.850909,-1.00261,0.395022,-1.498,-0.166221,-0.550696,1.48388,1.53066,0.430129,1.06361,-1.17272,1.1189,-1.3108,1.37559,1.10985,-1.83207,1.03558,-2.38928,0.0307587,1.54058,0.599181,-0.581825,-0.463557,-1.18928,-0.884885,-0.181108,-1.50091,1.22926,0.122846,0.827257,-1.23057,-0.555103,-0.795563,0.436671,1.38892,-0.700003,-0.992103,-0.939948
-87.7884,0.989101,0.00305706,7,127,0,301.77,0.668468,0.0127989,-1.36767,-0.374838,0.838648,0.423917,1.04897,-1.2144,0.75755,1.39366,1.43107,1.72073,-1.18683,1.33373,-1.22608,1.59838,-2.30279,-1.42998,-0.672613,-1.32717,1.98667,0.432534,0.770407,0.328518,-2.28125,-0.169923,0.317443,-0.413437,0.460863,0.198757,-1.17959,0.917764,-2.13223,0.0286546,0.152916,-1.26996,0.0724497,1.22133,-2.21045,0.924965,1.44062,-0.567871,-1.74178,1.31487,1.52764,-0.0943902,0.40532,0.109499,-1.66673,-0.998013,-0.161873,0.107567,1.29105,-1.75191,0.749557,1.06361,-0.133817,-0.967091,0.426041,1.66024,-1.25531,1.4113,1.16831,-0.30152,-1.36781,0.231739,-0.15018,0.524768,-1.31629,0.340753,-1.59529,1.51433,0.849237,0.465753,1.71609,-1.08709,0.922025,-1.42804,1.60729,1.05754,-1.53132,1.08076,-1.93391,0.174146,1.69094,1.67989,-0.431819,-1.00604,-0.70046,-0.926519,-0.949407,-1.65148,2.18585,-0.116909,0.590614,-1.67731,-0.835463,-0.998452,1.31923,1.73467,-0.800978,-1.26363,-1.57026,0.0582939,0.202997,-1.68344,0.936351,1.0846,0.214724,-1.25026,0.621695,1.92618,-0.664759,1.80815,0.664903,0.155729,-1.61172,0.71611,-0.867716,0.0129111,-1.3894,-0.118613,-0.791268,1.48972,1.0036,0.520463,0.805255,-1.02464,0.924271,-1.4066,1.58173,1.00744,-1.74289,1.25724,-2.4058,0.164598,1.5583,1.09513,-0.362425,-0.509045,-1.32956,-0.532467,-0.388619,-1.65528,1.39651,0.314531,1.01396,-1.52749,-0.61673,-0.856484,0.646741,1.23067,-0.766644,-1.09384,-0.990539
-80.1708,0.869429,0.00512237,10,1023,0,152.454,0.178122,-0.00176502,0.866293,-0.134052,4.13337,0.225983,2.36753,-0.873797,-0.624258,1.42381,1.5126,4.30213,-0.585887,1.87105,-3.71069,2.65713,-2.58583,-1.15207,-2.32038,-1.55221,1.37293,-1.31219,-0.179141,-0.879635,-2.65155,2.41056,0.674365,-1.22611,-1.90004,0.399439,-4.3412,1.15783,-2.2026,4.26474,-0.27223,-2.10963,0.532626,2.59435,-1.71612,1.05488,3.22896,-0.428269,-2.74402,-0.499457,1.96922,0.347179,3.45842,-0.868828,-0.998444,-1.64695,-0.575869,-1.94874,0.0392877,-1.35646,1.13804,-1.40985,-0.864147,-0.608598,-1.44927,-0.491563,-1.06729,-1.06656,2.4432,-0.114459,0.152647,0.419846,1.80585,-0.292366,0.306204,-1.47371,-1.86791,-2.18766,1.28926,2.36444,-0.00396741,-0.671712,-0.401717,-1.13066,-0.736177,-0.0201055,-0.671263,0.521291,-1.18591,-0.64358,0.515654,0.958371,-0.916984,-0.483685,2.04022,1.02383,-1.26597,0.0540199,-0.948874,-0.0415034,-0.10262,0.320473,-1.12698,-1.66207,1.33717,-1.11359,0.199447,-1.1958,-0.259864,0.179589,0.703974,-0.817556,3.07145,-0.633001,0.934454,-0.849538,-1.15888,0.577274,0.316706,1.97209,0.981703,1.04779,-2.11844,1.80487,-0.551599,-0.842577,-1.21004,-1.72273,-0.201762,-1.96877,0.595185,0.764578,-1.57528,1.06468,0.181523,-1.3426,-1.5278,0.226042,-2.94079,0.970547,-1.95201,2.18005,0.119049,-0.730176,-0.182917,1.27602,0.0919044,1.18289,1.2269,-0.224694,-2.14425,-0.318902,1.11247,0.38034,1.43866,-1.41977,0.135173,-1.58299,-0.233139,-1.80677,-0.118079
-80.8521,0.991579,0.0061486,10,1023,0,137.614,0.663757,-0.0643314,0.931258,-0.290326,5.07984,0.237188,2.90984,-1.19487,0.82065,2.4118,1.62373,3.29358,-0.137222,1.16771,-3.73148,2.00469,-2.84764,-1.97304,-2.55086,-2.05238,2.53876,-0.56974,0.62574,-0.80344,-2.04508,2.52048,-0.659114,-1.52174,-1.77742,-0.310292,-4.46398,1.31509,-2.0681,3.5794,-0.280553,-1.15802,0.115398,3.54144,-0.926927,-0.710244,3.65196,-1.3345,-2.51392,-0.0257772,2.28542,-0.168593,2.60132,-0.998494,-0.619699,-2.18818,-1.06222,-1.31841,0.0277711,-2.26215,1.09116,-1.23364,-0.711351,-0.714846,-0.855813,0.0809944,-1.30415,-0.923992,2.42895,-0.806479,0.911915,0.397083,0.176097,-1.33115,-0.191399,-0.869755,-0.868219,-0.360651,1.56931,3.17558,0.066742,-2.30157,-0.261995,-0.0710079,-0.939265,0.805119,-0.739934,0.357041,-0.701628,-0.572996,-0.787557,0.952036,-0.72739,-1.43727,2.79596,0.463015,-0.602434,0.565193,-1.71023,-0.391613,-0.838796,-0.450525,-0.932461,-1.46506,0.920225,-0.364279,-0.499863,-0.369228,0.184732,0.10181,0.71733,-1.37658,3.62238,-0.513839,1.36446,-1.09565,0.0364689,1.48745,0.279057,1.48122,1.20921,0.270547,-1.7499,1.4117,-1.61179,-1.88936,-1.62944,-1.69156,1.05883,-0.532956,1.2091,1.20718,-1.18929,0.285812,-0.534029,-0.949099,-1.56385,0.242225,-3.06682,0.977414,-1.61159,1.83901,-0.586738,-0.187358,-0.317619,1.35677,0.931394,-0.179186,1.86682,-0.498719,-2.41483,-0.223645,0.922749,-0.340497,1.06214,-1.37691,0.118124,-1.50414,-0.901907,-0.985885,0.114848
